,Distance
559,1.7044000000000001
560,1.5125
561,1.5268
562,1.4677
563,3.3645
564,1.245
565,1.0429000000000002
566,2.6357
567,3.7035
568,0.8034
569,2.6546999999999996
570,2.842
571,1.2367000000000001
572,3.4589000000000003
573,3.6222
574,1.1893
575,1.2524000000000002
576,1.5172999999999999
577,2.3531999999999997
578,1.1993
579,1.1755
580,0.7084
581,0.8907
582,0.4005
583,0.7202999999999999
584,0.4551
585,1.9198
586,0.8901
587,1.9826
588,0.7986
589,0.9867
590,0.8901
591,1.3693
592,2.0071
593,0.814
594,0.718
595,2.745
596,1.0415
597,0.9813999999999999
598,2.2965999999999998
599,0.9057999999999999
600,2.3941
601,3.3661
602,1.727
603,1.3174000000000001
604,1.9689
605,1.4137
606,0.9552999999999999
607,0.3295
608,0.6386000000000001
609,0.48269999999999996
610,0.5008
611,0.2346
612,1.698
613,0.2795
614,0.4535
615,0.3831
616,1.055
617,1.5703
618,0.2795
619,0.6612
620,0.7802
621,1.4128
622,1.3228
623,0.8198
624,1.4081
625,0.9365
626,4.082199999999999
627,2.3291
628,1.1605999999999999
629,0.2911
630,1.4462000000000002
631,0.1993
632,1.6475
633,1.4039000000000001
634,0.3955
635,0.19469999999999998
636,0.862
637,1.0707
638,2.9101999999999997
639,1.081
640,4.3327
641,0.9345
642,1.39
643,0.45339999999999997
644,0.9939
645,0.6548999999999999
646,1.6761
647,0.6891
648,0.8523999999999999
649,0.704
650,0.8054
651,0.7524
652,0.8011
653,1.2157
654,1.2908
655,1.7832999999999999
656,0.2711
657,0.9762000000000001
658,0.484
659,0.7225
660,0.7547
661,1.2761
662,0.9469
663,0.5134
664,1.2182
665,0.7252000000000001
666,3.205
667,9.9406
668,1.2805
669,0.3973
670,2.12
671,1.1178
672,1.0877999999999999
673,3.0098000000000003
674,1.2330999999999999
675,0.419
676,1.7304000000000002
677,2.8687
678,1.2323
679,2.2106
680,2.0265
681,2.5627
682,2.628
683,2.7395
684,0.8329
685,0.6648999999999999
686,0.9181
687,1.894
688,0.8854
689,0.43860000000000005
690,0.7542000000000001
691,1.2432
692,0.8854
693,0.5654
694,2.4508
695,0.8854
696,0.802
697,1.8457000000000001
698,0.24080000000000001
699,0.1664
700,0.6623
701,0.8842000000000001
702,1.5733
703,1.9297
704,0.2965
705,1.5955
706,0.3812
707,0.7455
708,1.4304000000000001
709,1.3862999999999999
710,0.7135
711,0.7135
712,0.7135
713,1.8363
714,1.5451
715,2.199
716,1.7042
717,2.9261
718,0.9068999999999999
719,1.6772
720,2.2466
721,5.8535
722,1.2369
723,1.4355
724,1.4594
725,1.6076
726,1.7187999999999999
727,1.3894000000000002
728,1.9703
729,1.4733
730,1.4222000000000001
731,1.9689
732,1.4999
733,1.3765
734,1.7187999999999999
735,1.7712
736,1.4594
737,1.9558
738,1.9558
739,1.296
740,1.3894000000000002
741,1.3954000000000002
742,1.3954000000000002
743,1.4986
744,1.4762
745,1.3702999999999999
746,1.296
747,1.5659
748,1.7039000000000002
749,1.3894000000000002
750,1.6633
751,1.6633
752,1.3553
753,1.4107
754,1.6408
755,1.2369
756,1.5391
757,1.2369
758,1.296
759,1.4594
760,
761,1.5285
762,1.3889
763,0.9567
764,0.5947
765,0.6537999999999999
766,1.1925
767,0.6537999999999999
768,0.8498
769,0.765
770,0.8112999999999999
771,1.6069
772,1.4662
773,1.5475999999999999
774,1.2521
775,2.8781999999999996
776,1.3291
777,1.1545999999999998
778,0.8439
779,2.5564
780,0.8727999999999999
781,7.3406
782,9.5261
783,0.6212000000000001
784,0.2052
