sa2_code,sa2_name,property_type,extracted_price,ERP_2021,ERP_2026,OCC_2021,OCC_2026,population_growth_2021_2026,population_density_persons_per_km2_2023,Median,Mean,Top 10%,Gini coefficient,IPR,HPI,PDI,GII,Affordability_Score
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,550.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0014109224359316209,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3745271390169191
206041509,Southbank - East,Apartment / Unit / Flat,560.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013804535330580732,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37451495145576963
206041509,Southbank - East,Apartment / Unit / Flat,560.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013804535330580732,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37451495145576963
213031348,Footscray,Apartment / Unit / Flat,390.0,17419.0,25837.51040406491,0.8211477004277579,0.87,48.32947014217182,4017.8,50695,60962,29.5,0.472,0.0019473733873552,0.9988316689101424,0.005173278853341228,0.7304347826086958,0.37450658405952264
213031348,Footscray,Apartment / Unit / Flat,390.0,17419.0,25837.51040406491,0.8211477004277579,0.87,48.32947014217182,4017.8,50695,60962,29.5,0.472,0.0019473733873552,0.9988316689101424,0.005173278853341228,0.7304347826086958,0.37450658405952264
206041509,Southbank - East,Apartment / Unit / Flat,570.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013510537144958777,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37450319152834477
206041509,Southbank - East,Apartment / Unit / Flat,570.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013510537144958777,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37450319152834477
206041509,Southbank - East,Apartment / Unit / Flat,570.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013510537144958777,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37450319152834477
206041509,Southbank - East,Apartment / Unit / Flat,570.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013510537144958777,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37450319152834477
206041509,Southbank - East,Apartment / Unit / Flat,575.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013367372811090696,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37449746495499003
206041509,Southbank - East,Apartment / Unit / Flat,575.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013367372811090696,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37449746495499003
206041509,Southbank - East,Apartment / Unit / Flat,575.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013367372811090696,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.37449746495499003
206041509,Southbank - East,Apartment / Unit / Flat,580.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013226676827806547,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744918371156587
206041509,Southbank - East,Apartment / Unit / Flat,580.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013226676827806547,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744918371156587
206041509,Southbank - East,Apartment / Unit / Flat,580.0,16506.0,21061.41559343084,0.7581995158341058,0.8400000000000001,27.59854352011899,23318.4,54392,69947,31.7,0.468,0.0013226676827806547,0.9989388998002084,0.00039100775879616996,0.7420289855072465,0.3744918371156587
